latitude,longitude,mean_air_pressure,uncertainty_std
-88.57216851400727,0.0,99917.59,350.87485
-88.57216851400727,1.875,99914.9,351.14496
-88.57216851400727,3.75,99912.92,351.42273
-88.57216851400727,5.625,99911.74,351.69464
-88.57216851400727,7.5,99908.78,351.9794
-88.57216851400727,9.375,99906.76,352.26337
-88.57216851400727,11.25,99904.42,352.55087
-88.57216851400727,13.125,99903.18,352.84378
-88.57216851400727,15.0,99900.5,353.13525
-88.57216851400727,16.875,99897.78,353.42972
-88.57216851400727,18.75,99895.16,353.7388
-88.57216851400727,20.625,99891.44,354.0404
-88.57216851400727,22.5,99889.36,354.35507
-88.57216851400727,24.375,99886.45,354.6871
-88.57216851400727,26.25,99882.84,355.0031
-88.57216851400727,28.125,99880.02,355.34543
-88.57216851400727,30.0,99876.84,355.686
-88.57216851400727,31.875,99873.45,356.0292
-88.57216851400727,33.75,99871.36,356.39075
-88.57216851400727,35.625,99868.09,356.7397
-88.57216851400727,37.5,99863.85,357.10977
-88.57216851400727,39.375,99861.42,357.48904
-88.57216851400727,41.25,99857.05,357.86743
-88.57216851400727,43.125,99854.8,358.26392
-88.57216851400727,45.0,99850.93,358.65784
-88.57216851400727,46.875,99848.18,359.06705
-88.57216851400727,48.75,99844.1,359.48007
-88.57216851400727,50.625,99841.36,359.9072
-88.57216851400727,52.5,99837.49,360.32886
-88.57216851400727,54.375,99833.85,360.77078
-88.57216851400727,56.25,99830.5,361.21347
-88.57216851400727,58.125,99827.49,361.66708
-88.57216851400727,60.0,99824.83,362.13718
-88.57216851400727,61.875,99821.2,362.60327
-88.57216851400727,63.75,99817.88,363.08273
-88.57216851400727,65.625,99814.84,363.56985
-88.57216851400727,67.5,99812.0,364.06262
-88.57216851400727,69.375,99807.96,364.55188
-88.57216851400727,71.25,99805.24,365.06805
-88.57216851400727,73.125,99801.09,365.5768
-88.57216851400727,75.0,99798.02,366.09055
-88.57216851400727,76.875,99794.56,366.6227
-88.57216851400727,78.75,99791.87,367.14542
-88.57216851400727,80.625,99788.48,367.6784
-88.57216851400727,82.5,99784.27,368.2114
-88.57216851400727,84.375,99780.38,368.73944
-88.57216851400727,86.25,99776.64,369.27148
-88.57216851400727,88.125,99772.96,369.81244
-88.57216851400727,90.0,99769.2,370.3557
-88.57216851400727,91.875,99765.25,370.88788
-88.57216851400727,93.75,99761.04,371.41345
-88.57216851400727,95.625,99756.5,371.94193
-88.57216851400727,97.5,99751.61,372.4575
-88.57216851400727,99.375,99747.64,372.95987
-88.57216851400727,101.25,99742.04,373.46588
-88.57216851400727,103.125,99737.46,373.95255
-88.57216851400727,105.0,99732.68,374.42508
-88.57216851400727,106.875,99726.54,374.8747
-88.57216851400727,108.75,99721.76,375.3218
-88.57216851400727,110.625,99715.96,375.7373
-88.57216851400727,112.5,99709.35,376.14243
-88.57216851400727,114.375,99703.48,376.5165
-88.57216851400727,116.25,99698.61,376.87665
-88.57216851400727,118.125,99692.48,377.20422
-88.57216851400727,120.0,99685.4,377.50385
-88.57216851400727,121.875,99679.03,377.7816
-88.57216851400727,123.75,99673.71,378.02936
-88.57216851400727,125.625,99667.25,378.24918
-88.57216851400727,127.5,99660.02,378.43698
-88.57216851400727,129.375,99653.72,378.58942
-88.57216851400727,131.25,99647.44,378.7069
-88.57216851400727,133.125,99641.56,378.80115
-88.57216851400727,135.0,99635.17,378.8509
-88.57216851400727,136.875,99629.92,378.87427
-88.57216851400727,138.75,99623.58,378.86087
-88.57216851400727,140.625,99617.73,378.8223
-88.57216851400727,142.5,99612.68,378.74274
-88.57216851400727,144.375,99607.4,378.6384
-88.57216851400727,146.25,99602.13,378.49277
-88.57216851400727,148.125,99597.04,378.33105
-88.57216851400727,150.0,99592.28,378.11914
-88.57216851400727,151.875,99587.96,377.88748
-88.57216851400727,153.75,99584.16,377.62064
-88.57216851400727,155.625,99580.89,377.34174
-88.57216851400727,157.5,99578.12,377.02277
-88.57216851400727,159.375,99575.78,376.69574
-88.57216851400727,161.25,99572.46,376.33075
-88.57216851400727,163.125,99571.89,375.95718
-88.57216851400727,165.0,99569.98,375.55057
-88.57216851400727,166.875,99569.09,375.1342
-88.57216851400727,168.75,99568.92,374.68964
-88.57216851400727,170.625,99569.18,374.23328
-88.57216851400727,172.5,99569.52,373.7732
-88.57216851400727,174.375,99570.87,373.2843
-88.57216851400727,176.25,99571.55,372.78116
-88.57216851400727,178.125,99573.74,372.28015
-88.57216851400727,180.0,99577.02,371.75595
-88.57216851400727,181.875,99579.66,371.2235
-88.57216851400727,183.75,99583.84,370.68954
-88.57216851400727,185.625,99587.8,370.13715
-88.57216851400727,187.5,99592.45,369.5747
-88.57216851400727,189.375,99597.35,369.00964
