task;visualization;participantId;selected_answer;text
Abschlussfeedback – Weitere Anmerkungen;;69febfea-93f2-4aee-8411-6778d021f078;;Diese Textbox reagiert sehr langsam
Abschlussfeedback – Weitere Anmerkungen;;ee65e316-170a-44d6-9f78-450e8ec54ccf;;Die ist ein Test
Temperatur – Standortentscheidung;VSUP;4d19396b-7d8d-4d99-8da7-ded7bf2ae5ef;R2;Einheitliche Temperatur nah an -12 und geringe Unsicherheit
Temperatur – Standortentscheidung;VSUP;69febfea-93f2-4aee-8411-6778d021f078;R1;Passendste Temperatur
Temperatur – Standortentscheidung;VSUP;ee65e316-170a-44d6-9f78-450e8ec54ccf;R4;Sichere Region mit guten Werten
Temperatur – Standortentscheidung;ScaledGlyph;4d19396b-7d8d-4d99-8da7-ded7bf2ae5ef;R2;Temperatur sehr nah an -12 Grad
Temperatur – Standortentscheidung;ScaledGlyph;69febfea-93f2-4aee-8411-6778d021f078;R1;Ideale Temperatur von -12 Grad
Temperatur – Standortentscheidung;ScaledGlyph;ee65e316-170a-44d6-9f78-450e8ec54ccf;R4;Insgesamt die sicherste Region
Temperatur – Standortentscheidung;IsoGlyph;4d19396b-7d8d-4d99-8da7-ded7bf2ae5ef;R4;Trotz gewisser Unsicherheit die Region die am nähsten an -12 Grad liegt
Temperatur – Standortentscheidung;IsoGlyph;69febfea-93f2-4aee-8411-6778d021f078;R2;Konstante Temperatur und Unsicherheit
Temperatur – Standortentscheidung;IsoGlyph;ee65e316-170a-44d6-9f78-450e8ec54ccf;R5;Aufgrund der geringen Unsicherheit die vorhersehbarste Region
