latitude,longitude,mean_precipitation,uncertainty_std
-88.57216851400727,0.0,1.3572053e-06,5.95342e-07
-88.57216851400727,1.875,1.3638435e-06,6.00606e-07
-88.57216851400727,3.75,1.3716707e-06,6.059672e-07
-88.57216851400727,5.625,1.3807119e-06,6.135921e-07
-88.57216851400727,7.5,1.3909297e-06,6.2217083e-07
-88.57216851400727,9.375,1.4037608e-06,6.35021e-07
-88.57216851400727,11.25,1.4159792e-06,6.4706455e-07
-88.57216851400727,13.125,1.4218327e-06,6.4882863e-07
-88.57216851400727,15.0,1.4317286e-06,6.513733e-07
-88.57216851400727,16.875,1.4453639e-06,6.613991e-07
-88.57216851400727,18.75,1.4667254e-06,6.891808e-07
-88.57216851400727,20.625,1.4835946e-06,7.0647695e-07
-88.57216851400727,22.5,1.4998908e-06,7.170435e-07
-88.57216851400727,24.375,1.5157972e-06,7.3388213e-07
-88.57216851400727,26.25,1.5330478e-06,7.5242696e-07
-88.57216851400727,28.125,1.5510661e-06,7.64008e-07
-88.57216851400727,30.0,1.5697968e-06,7.752295e-07
-88.57216851400727,31.875,1.5883093e-06,7.865422e-07
-88.57216851400727,33.75,1.6111054e-06,8.015155e-07
-88.57216851400727,35.625,1.6259428e-06,8.1050365e-07
-88.57216851400727,37.5,1.6413286e-06,8.199612e-07
-88.57216851400727,39.375,1.6590569e-06,8.3328416e-07
-88.57216851400727,41.25,1.6742115e-06,8.492495e-07
-88.57216851400727,43.125,1.6892135e-06,8.5706336e-07
-88.57216851400727,45.0,1.7037594e-06,8.712482e-07
-88.57216851400727,46.875,1.7204541e-06,8.8202535e-07
-88.57216851400727,48.75,1.7348779e-06,8.915183e-07
-88.57216851400727,50.625,1.7530501e-06,9.171133e-07
-88.57216851400727,52.5,1.7602125e-06,9.2251946e-07
-88.57216851400727,54.375,1.7724399e-06,9.295015e-07
-88.57216851400727,56.25,1.7825988e-06,9.3786736e-07
-88.57216851400727,58.125,1.7892971e-06,9.423671e-07
-88.57216851400727,60.0,1.801201e-06,9.46243e-07
-88.57216851400727,61.875,1.8076297e-06,9.533662e-07
-88.57216851400727,63.75,1.8132577e-06,9.53548e-07
-88.57216851400727,65.625,1.8213673e-06,9.545505e-07
-88.57216851400727,67.5,1.8215698e-06,9.550263e-07
-88.57216851400727,69.375,1.8263515e-06,9.553545e-07
-88.57216851400727,71.25,1.8268715e-06,9.531759e-07
-88.57216851400727,73.125,1.8257425e-06,9.416003e-07
-88.57216851400727,75.0,1.833098e-06,9.568703e-07
-88.57216851400727,76.875,1.8340074e-06,9.563308e-07
-88.57216851400727,78.75,1.8303986e-06,9.549705e-07
-88.57216851400727,80.625,1.8289347e-06,9.551261e-07
-88.57216851400727,82.5,1.8199594e-06,9.4347115e-07
-88.57216851400727,84.375,1.8239111e-06,9.4419164e-07
-88.57216851400727,86.25,1.8236777e-06,9.429562e-07
-88.57216851400727,88.125,1.8242049e-06,9.457832e-07
-88.57216851400727,90.0,1.816397e-06,9.4726107e-07
-88.57216851400727,91.875,1.8182687e-06,9.5117855e-07
-88.57216851400727,93.75,1.8192234e-06,9.486461e-07
-88.57216851400727,95.625,1.8177718e-06,9.5056754e-07
-88.57216851400727,97.5,1.8237191e-06,9.561767e-07
-88.57216851400727,99.375,1.8287781e-06,9.616447e-07
-88.57216851400727,101.25,1.8382167e-06,9.692396e-07
-88.57216851400727,103.125,1.847496e-06,9.768045e-07
-88.57216851400727,105.0,1.8538601e-06,9.927077e-07
-88.57216851400727,106.875,1.8607772e-06,1.0035249e-06
-88.57216851400727,108.75,1.8720966e-06,1.0171725e-06
-88.57216851400727,110.625,1.882876e-06,1.0205678e-06
-88.57216851400727,112.5,1.8962154e-06,1.0332895e-06
-88.57216851400727,114.375,1.90861e-06,1.0528275e-06
-88.57216851400727,116.25,1.9260601e-06,1.0656549e-06
-88.57216851400727,118.125,1.9464908e-06,1.0906028e-06
-88.57216851400727,120.0,1.9719193e-06,1.1229056e-06
-88.57216851400727,121.875,1.9900012e-06,1.1397507e-06
-88.57216851400727,123.75,2.0060322e-06,1.1512624e-06
-88.57216851400727,125.625,2.0374766e-06,1.1854828e-06
-88.57216851400727,127.5,2.0569685e-06,1.2206964e-06
-88.57216851400727,129.375,2.0763657e-06,1.2445539e-06
-88.57216851400727,131.25,2.0944537e-06,1.257438e-06
-88.57216851400727,133.125,2.10904e-06,1.2668963e-06
-88.57216851400727,135.0,2.127864e-06,1.3003272e-06
-88.57216851400727,136.875,2.1362935e-06,1.3151125e-06
-88.57216851400727,138.75,2.13461e-06,1.3017572e-06
-88.57216851400727,140.625,2.1452374e-06,1.3134621e-06
