participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,startTime,endTime,parameters_preset,parameters_output
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","participantTags","","participantTags","DEFAULT","","","","","","","","[]","","","","","","",""
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","Introduction","0","","DEFAULT","completed","","","","100.00","","","","","78898","78898","2026-07-27T09:46:19.372Z","2026-07-27T09:47:38.270Z","",""
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","Introduction","0","windowEvents","DEFAULT","","","","","","","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":95,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","",""
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","Consent","1","Einwilligungserklärung_Radio","DEFAULT","completed","","","","100.00","","","Ja, ich stimme zu.","","25000","25000","2026-07-27T09:47:38.497Z","2026-07-27T09:48:03.497Z","",""
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","Consent","1","windowEvents","DEFAULT","","","","","","","","{""focus"":2,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":56,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","",""
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","VSUP_Description","2","","DEFAULT","completed","","","","100.00","","","","","27156","27156","2026-07-27T09:48:03.736Z","2026-07-27T09:48:30.892Z","",""
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","VSUP_Description","2","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":32,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":3,""visibility"":0}","","","","","","",""
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","VSUP_Test","3","VSUP_Response_Uncertainty","DEFAULT","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit:","","4","4","7698","7698","2026-07-27T09:48:31.053Z","2026-07-27T09:48:38.751Z","test1","Vsup"
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","VSUP_Test","3","VSUP_Response_Latitude","DEFAULT","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit:","","-45.698693877701785","","7698","7698","2026-07-27T09:48:31.053Z","2026-07-27T09:48:38.751Z","test1","Vsup"
"5066d7fe-1ad0-4b53-9264-4e9ff4686cdd","VSUP_Test","3","VSUP_Response_Longitude","DEFAULT","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit:","","339.375","","7698","7698","2026-07-27T09:48:31.053Z","2026-07-27T09:48:38.751Z","test1","Vsup"
