participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,helpButtonClickedCount,parameters_preset,parameters_output
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","participantTags","","participantTags","DEFAULT","","","","","","","","[]","","","","","",""
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","Introduction","0","","DEFAULT","completed","","","","8.70","","","","","3316","3316","0","",""
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","Introduction","0","windowEvents","DEFAULT","","","","","","","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":13,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","",""
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","Consent","1","","DEFAULT","completed","","","","8.70","","","","","","-1","0","",""
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","Consent","1","windowEvents","DEFAULT","","","","","","","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","",""
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","Task_Explanation","2","","DEFAULT","completed","","","","8.70","Beispiel","","","","","-1","0","empty","vsupPlot"
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","Task_Explanation","2","windowEvents","DEFAULT","","","","","","","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","",""
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","VSUP_Explanation","3","","DEFAULT","completed","","","","8.70","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","","","","-1","0","test1","Vsup"
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","VSUP_Explanation","3","windowEvents","DEFAULT","","","","","","","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","",""
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","ScaledGlyph_Explanation","4","","DEFAULT","completed","","","","8.70","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","","","","-1","0","test2","ScaledGlyph"
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","ScaledGlyph_Explanation","4","windowEvents","DEFAULT","","","","","","","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","",""
"19039dc7-11aa-4a72-8b40-f6a34e55a84b","IsoGlyph_Explanation","5","","DEFAULT","completed","","","","8.70","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","","","","-1","0","test3","IsoGlyph"
