participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,helpButtonClickedCount,startTime,endTime,parameters_preset,parameters_output
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","participantTags","","participantTags","DEFAULT","","","","","","","","[]","","","","","","","",""
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","Introduction","0","","DEFAULT","completed","","","","100.00","","","","","19563","19563","0","2026-08-22T14:07:47.970Z","2026-08-22T14:08:07.533Z","",""
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","Introduction","0","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":41,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","",""
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","Consent","1","Einwilligungserklärung_Radio","DEFAULT","completed","","","","100.00","","","Ja, ich stimme zu.","","2564","2564","0","2026-08-22T14:08:07.738Z","2026-08-22T14:08:10.302Z","",""
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","Consent","1","windowEvents","DEFAULT","","","","","","","","{""focus"":2,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":18,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","",""
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","Task_Explanation","2","Beispiel_Checkbox_Response","DEFAULT","completed","","","","100.00","Beispiel","Hier wählen Sie eine der Optionen aus:","","","6559","6559","0","2026-08-22T14:08:10.650Z","2026-08-22T14:08:17.209Z","empty","vsupPlot"
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","Task_Explanation","2","Beispiel_LongText_Response","DEFAULT","completed","","","","100.00","Beispiel","Hier können Sie eine Begründung schreiben:","","","6559","6559","0","2026-08-22T14:08:10.650Z","2026-08-22T14:08:17.209Z","empty","vsupPlot"
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","Task_Explanation","2","Beispiel_Likert_Response","DEFAULT","completed","","","","100.00","Beispiel","Hier bewerten Sie:","","","6559","6559","0","2026-08-22T14:08:10.650Z","2026-08-22T14:08:17.209Z","empty","vsupPlot"
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","Task_Explanation","2","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":33,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":6,""visibility"":0}","","","","","","","",""
"0a118baa-2055-44b8-b7d2-3768aa75c6c2","VSUP_Explanation","3","VSUP_Response_Uncertainty","DEFAULT","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","10","10","7507","7507","0","2026-08-22T14:08:17.694Z","2026-08-22T14:08:25.201Z","test1","Vsup"
