participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,helpButtonClickedCount,parameters_preset,parameters_output
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","participantTags","","participantTags","Pilot","","","","","","","","[]","","","","","",""
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Introduction","0","","Pilot","completed","","","","100.00","","","","","3042","3042","0","",""
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Introduction","0","windowEvents","Pilot","","","","","","","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":9,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","",""
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Consent","1","Einwilligungserklärung_Radio","Pilot","completed","","","","100.00","","","Ja, ich stimme zu.","","24278","24278","0","",""
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Consent","1","windowEvents","Pilot","","","","","","","","{""focus"":10,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":53,""mousedown"":10,""mouseup"":10,""resize"":0,""scroll"":0,""visibility"":0}","","","","","",""
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Task_Explanation","2","Beispiel_Checkbox_Response","Pilot","completed","","","","100.00","Beispiel","Hier wählen Sie eine der Optionen aus:","","","5972","5972","0","empty","vsupPlot"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Task_Explanation","2","Beispiel_LongText_Response","Pilot","completed","","","","100.00","Beispiel","Hier können Sie eine Begründung schreiben:","","","5972","5972","0","empty","vsupPlot"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Task_Explanation","2","Beispiel_Likert_Response","Pilot","completed","","","","100.00","Beispiel","Hier bewerten Sie:","","","5972","5972","0","empty","vsupPlot"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Task_Explanation","2","VSUP_Response_Latitude","Pilot","completed","","","","100.00","Beispiel","","4","","5972","5972","0","empty","vsupPlot"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Task_Explanation","2","VSUP_Response_Longitude","Pilot","completed","","","","100.00","Beispiel","","4","","5972","5972","0","empty","vsupPlot"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Task_Explanation","2","VSUP_Response_Value","Pilot","completed","","","","100.00","Beispiel","","15","","5972","5972","0","empty","vsupPlot"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Task_Explanation","2","VSUP_Response_Uncertainty","Pilot","completed","","","","100.00","Beispiel","","0","","5972","5972","0","empty","vsupPlot"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","Task_Explanation","2","windowEvents","Pilot","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":37,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":5,""visibility"":0}","","","","","",""
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","VSUP_Explanation","3","VSUP_Response_Uncertainty","Pilot","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","10","10","7092","7092","0","test1","Vsup"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","VSUP_Explanation","3","VSUP_Response_Latitude","Pilot","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","1","","7092","7092","0","test1","Vsup"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","VSUP_Explanation","3","VSUP_Response_Longitude","Pilot","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","8","","7092","7092","0","test1","Vsup"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","VSUP_Explanation","3","VSUP_Response_Value","Pilot","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","15","","7092","7092","0","test1","Vsup"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","VSUP_Explanation","3","windowEvents","Pilot","","","","","","","","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":39,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":5,""visibility"":0}","","","","","",""
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","ScaledGlyph_Explanation","4","ScaledGlyph_Response_Uncertainty","Pilot","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","10","10","6313","6313","0","test2","ScaledGlyph"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","ScaledGlyph_Explanation","4","ScaledGlyph_Response_Latitude","Pilot","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","8","","6313","6313","0","test2","ScaledGlyph"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","ScaledGlyph_Explanation","4","ScaledGlyph_Response_Longitude","Pilot","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","4","","6313","6313","0","test2","ScaledGlyph"
"49fa8b96-a0db-4ac6-a33b-0d640bffcc5d","ScaledGlyph_Explanation","4","ScaledGlyph_Response_Value","Pilot","completed","","","","100.00","Klicken Sie auf die Stelle mit der höchsten Unsicherheit.","","15","","6313","6313","0","test2","ScaledGlyph"
